枚,送り主ID,依頼主氏名,依頼主フリガナ,依頼主〒,依頼主住所,依頼主電話,会社名,お届け先,氏名,フリガナ,〒,住所,電話,商品番号,数量,のし
1,H04,首藤 大輔,,812-0011,福岡県福岡市博多区博多駅前2-3-3,0942-86-9826,株式会社大分商事,1,森 健一,モリ ケンイチ,874-0000,大分県別府市5-15-3,0979-78-2744,STK-2,1,御歳暮
2,H00,石川 恵子,,812-0011,福岡県福岡市博多区博多駅前5-16-13,0942-11-1575,,1,池田 さくら,イケダ サクラ,874-0000,大分県別府市3-17-19,097-766-8725,HAM-30,1,内祝
3,H01,鈴木 裕子,スズキ ユウコ,160-0022,東京都新宿区新宿4-19-1,03-1437-1134,,1,中村 直樹,ナカムラ ナオキ,060-0001,北海道札幌市中央区北一条西1-29-5,,HAM-50,3,御礼
3,H01,鈴木 裕子,スズキ ユウコ,160-0022,東京都新宿区新宿4-19-1,03-1437-1134,,2,山下 裕子,ヤマシタ ユウコ,980-0001,宮城県仙台市青葉区中央3-20-4,0229-47-9862,HAM-50,1,内祝
3,H01,鈴木 裕子,スズキ ユウコ,160-0022,東京都新宿区新宿4-19-1,03-1437-1134,,3,高橋 太郎,タカハシ タロウ,875-0000,大分県臼杵市1-3-4,0978-20-7965,YKN-60,1,御礼
4,H07,石川 大輔,イシカワ ダイスケ,542-0081,大阪府大阪市中央区南船場3-10-3,070-5604-7032,別府温泉組合,1,石川 直樹,イシカワ ナオキ,860-0001,熊本県熊本市中央区千葉城町4-24-18,0965-20-5493,YKN-40,1,御中元
4,H07,石川 大輔,イシカワ ダイスケ,542-0081,大阪府大阪市中央区南船場3-10-3,070-5604-7032,別府温泉組合,2,田中 太郎,タナカ タロウ,220-0001,神奈川県横浜市西区北幸1-21-5,070-6620-1990,HMB-6,2,
4,H07,石川 大輔,イシカワ ダイスケ,542-0081,大阪府大阪市中央区南船場3-10-3,070-5604-7032,別府温泉組合,3,清水 健一,シミズ ケンイチ,160-0022,東京都新宿区新宿4-21-20,03-1772-8370,YKN-60,3,
5,H06,佐藤 美咲,サトウ ミサキ,870-0021,大分県大分市府内町4-25-5,0978-43-5179,,1,伊藤 健一,イトウ ケンイチ,870-0021,大分県大分市府内町5-24-13,097-282-8891,YKN-40,1,御礼
6,H03,佐々木 裕子,ササキ ユウコ,220-0001,神奈川県横浜市西区北幸4-19-13,045-316-6025,株式会社大分商事,1,森 さくら,モリ サクラ,810-0001,福岡県福岡市中央区天神5-17-12,093-360-6810,YKN-40,1,御歳暮
